district;Apartamento;Casa;Casa em condomínio;Studio e kitnet
Vila Ramos;0.0;2.0;0.0;0.0
Vila Regente Feijó;58.0;19.0;0.0;5.0
Vila Regina;1.0;2.0;0.0;0.0
Vila Renata;1.0;1.0;0.0;1.0
Vila Rio;1.0;0.0;0.0;0.0
Vila Rio Branco;0.0;1.0;0.0;0.0
Vila Rio de Janeiro;1.0;1.0;0.0;0.0
Vila Romana;19.0;16.0;0.0;1.0
Vila Romano;0.0;1.0;0.0;0.0
Vila Romero;2.0;1.0;0.0;0.0
Vila Roque;3.0;3.0;0.0;0.0
Vila Rosalia;0.0;2.0;0.0;3.0
Vila Rosália;5.0;3.0;0.0;0.0
Vila Rui Barbosa;0.0;2.0;0.0;0.0
Vila Ré;6.0;7.0;1.0;2.0
Vila Sabrina;3.0;2.0;0.0;0.0
Vila Sacadura Cabral;1.0;0.0;0.0;0.0
Vila Salete;2.0;0.0;1.0;0.0
Vila Santa Catarina;39.0;12.0;0.0;2.0
Vila Santa Clara;5.0;4.0;2.0;0.0
Vila Santa Edwiges;2.0;2.0;0.0;0.0
Vila Santa Isabel;4.0;0.0;0.0;0.0
Vila Santa Luzia;4.0;2.0;0.0;2.0
Vila Santa Maria;6.0;12.0;1.0;0.0
Vila Santa Teresa;3.0;2.0;1.0;0.0
Vila Santa Teresa (zona Leste);1.0;0.0;0.0;0.0
Vila Santa Teresa (zona Sul);9.0;1.0;0.0;0.0
Vila Santa Terezinha;1.0;0.0;0.0;0.0
Vila Santa Terezinha (zona Norte);1.0;0.0;1.0;0.0
Vila Santa Virginia;2.0;1.0;0.0;0.0
Vila Santana;6.0;0.0;1.0;1.0
Vila Santista;0.0;3.0;0.0;0.0
Vila Santo Antônio;1.0;0.0;0.0;0.0
Vila Santo Estefano;3.0;4.0;0.0;3.0
Vila Santo Estevão;0.0;1.0;0.0;0.0
Vila Santo Estéfano;6.0;6.0;0.0;1.0
Vila Santos;1.0;0.0;0.0;0.0
Vila Sao Domingos;0.0;1.0;0.0;0.0
Vila Sao Francisco (zona Sul);1.0;1.0;0.0;0.0
Vila Sao Geraldo;1.0;1.0;0.0;1.0
Vila Sao Luis(zona Oeste);0.0;2.0;0.0;0.0
Vila Sao Luiz (valparaizo);0.0;1.0;0.0;0.0
Vila Sao Nicolau;0.0;1.0;0.0;0.0
Vila Sao Paulo;2.0;2.0;0.0;0.0
Vila Sao Pedro;3.0;1.0;1.0;1.0
Vila Sao Vicente;2.0;2.0;0.0;0.0
Vila Sargento José de Paula;0.0;1.0;0.0;0.0
Vila Scarpelli;0.0;2.0;1.0;0.0
Vila Serralheiro;0.0;2.0;0.0;0.0
Vila Silveira;1.0;3.0;0.0;0.0
Vila Silvia;1.0;0.0;0.0;0.0
Vila Siqueira (zona Norte);7.0;2.0;0.0;0.0
Vila Sirene;0.0;1.0;0.0;0.0
Vila Socorro;0.0;3.0;0.0;2.0
Vila Sofia;13.0;0.0;0.0;0.0
Vila Sonia;6.0;10.0;0.0;0.0
Vila Souza;0.0;1.0;0.0;0.0
Vila Suzana;108.0;1.0;0.0;5.0
Vila São Domingos;0.0;1.0;0.0;0.0
Vila São Francisco;2.0;0.0;0.0;0.0
Vila São Francisco (zona Leste);0.0;1.0;0.0;0.0
Vila São Francisco (zona Sul);0.0;1.0;0.0;0.0
Vila São Geraldo;1.0;3.0;0.0;0.0
Vila São José;4.0;2.0;0.0;5.0
Vila São José (ipiranga);1.0;2.0;0.0;1.0
Vila São João;1.0;0.0;0.0;1.0
Vila São João Batista;0.0;0.0;1.0;1.0
Vila São Judas Tadeu;0.0;0.0;1.0;0.0
Vila São Luís;0.0;0.0;0.0;1.0
Vila São Luís(zona Oeste);1.0;1.0;0.0;2.0
Vila São Paulo;5.0;1.0;0.0;0.0
Vila São Pedro;5.0;2.0;0.0;0.0
Vila São Ricardo;1.0;0.0;0.0;0.0
Vila São Silvestre;2.0;0.0;1.0;0.0
Vila São Vicente;1.0;0.0;0.0;0.0
Vila Sônia;12.0;7.0;0.0;0.0
Vila Talarico;7.0;4.0;0.0;0.0
Vila Tijuco;0.0;1.0;0.0;0.0
Vila Tiradentes;0.0;1.0;1.0;0.0
Vila Tolstoi;4.0;1.0;0.0;3.0
Vila Trabalhista;0.0;2.0;0.0;0.0
Vila Tramontano;2.0;1.0;0.0;0.0
Vila Uberabinha;13.0;0.0;0.0;0.0
Vila União;0.0;1.0;0.0;0.0
Vila União (zona Leste);0.0;1.0;1.0;0.0
Vila Valparaiso;3.0;0.0;0.0;0.0
Vila Valparaíso;10.0;1.0;0.0;0.0
Vila Venditti;5.0;0.0;0.0;0.0
Vila Vera;3.0;5.0;0.0;0.0
Vila Vermelha;5.0;1.0;0.0;0.0
Vila Virginia;0.0;1.0;0.0;0.0
Vila Vivaldi;0.0;1.0;0.0;0.0
Vila Yara;2.0;3.0;0.0;0.0
Vila Yolanda;0.0;3.0;0.0;0.0
Vila Zamataro;0.0;1.0;0.0;0.0
Vila Zat;1.0;3.0;0.0;0.0
Vila Zelina;0.0;1.0;0.0;0.0
Vila Zilda;6.0;0.0;0.0;5.0
Vila da Paz;3.0;0.0;0.0;0.0
Vila da Saúde;37.0;10.0;1.0;4.0
Vila das Bandeiras;5.0;1.0;0.0;0.0
Vila das Belezas;2.0;1.0;0.0;0.0
Vila das Merces;2.0;5.0;0.0;0.0
Vila das Merces ;1.0;0.0;0.0;0.0
Vila das Mercês;5.0;1.0;0.0;1.0
Vila das Palmeiras;1.0;0.0;0.0;0.0
Vila do Bosque;0.0;2.0;0.0;0.0
Vila do Castelo;6.0;1.0;1.0;0.0
Vila do Encontro;8.0;5.0;0.0;0.0
Vila dos Andrades;0.0;0.0;1.0;0.0
Vila Água Funda;0.0;4.0;0.0;0.0
Várzea da Barra Funda;11.0;0.0;0.0;0.0
Água Branca;36.0;3.0;0.0;5.0
Água Fria;8.0;9.0;3.0;0.0
Água Funda;1.0;0.0;0.0;0.0
Água Rasa;5.0;9.0;1.0;4.0
