district;Apartamento;Casa;Casa em condomínio;Studio e kitnet
Jardim Filhos da Terra;2.0;5.0;0.0;0.0
Jardim Flor da Montanha;9.0;0.0;0.0;1.0
Jardim Fonte do Morumbi;10.0;0.0;0.0;0.0
Jardim Franca;1.0;5.0;0.0;0.0
Jardim Frei Galvao;0.0;1.0;0.0;0.0
Jardim Frei Galvão;0.0;1.0;0.0;0.0
Jardim Gilda Maria;1.0;0.0;0.0;0.0
Jardim Glória;1.0;0.0;0.0;0.0
Jardim Gracinda;3.0;0.0;0.0;0.0
Jardim Graziela;0.0;0.0;0.0;2.0
Jardim Guairaca;1.0;0.0;0.0;0.0
Jardim Guanca;1.0;2.0;0.0;0.0
Jardim Guarapiranga;0.0;3.0;0.0;0.0
Jardim Guarau;0.0;1.0;0.0;1.0
Jardim Guarulhos;1.0;0.0;0.0;0.0
Jardim Gumercindo;1.0;0.0;0.0;0.0
Jardim Haia do Carrao;0.0;1.0;0.0;0.0
Jardim Helena;1.0;0.0;0.0;0.0
Jardim Helian;1.0;0.0;1.0;0.0
Jardim Hercilia;0.0;1.0;0.0;0.0
Jardim Ibitirama;3.0;0.0;0.0;0.0
Jardim Imperador (zona Leste);1.0;0.0;0.0;0.0
Jardim Independência;2.0;0.0;0.0;3.0
Jardim Independência (são Paulo);2.0;3.0;0.0;0.0
Jardim Inga;0.0;1.0;0.0;0.0
Jardim Ipanema (zona Sul);0.0;4.0;0.0;0.0
Jardim Iporanga;1.0;0.0;0.0;0.0
Jardim Iracema;2.0;1.0;0.0;0.0
Jardim Iris;14.0;0.0;0.0;0.0
Jardim Itapeva;1.0;1.0;0.0;0.0
Jardim Iva;4.0;2.0;0.0;0.0
Jardim Ivana;0.0;0.0;0.0;2.0
Jardim Jabaquara;1.0;1.0;0.0;0.0
Jardim Jamaica;2.0;0.0;0.0;0.0
Jardim Japao;3.0;2.0;0.0;0.0
Jardim Japão;5.0;7.0;1.0;3.0
Jardim Jaqueline;5.0;0.0;0.0;0.0
Jardim Jaçanã;0.0;1.0;0.0;0.0
Jardim Jaú (Zona Leste);1.0;0.0;0.0;0.0
Jardim Jaú (zona Leste);4.0;0.0;0.0;0.0
Jardim João Xxiii;0.0;1.0;0.0;0.0
Jardim Jua;0.0;2.0;0.0;0.0
Jardim Julieta;0.0;1.0;0.0;0.0
Jardim Jussara;3.0;2.0;0.0;0.0
Jardim Kuabara;0.0;3.0;0.0;0.0
Jardim Lallo;1.0;1.0;0.0;1.0
Jardim Lar Sao Paulo;2.0;1.0;0.0;0.0
Jardim Las Vegas;6.0;1.0;0.0;0.0
Jardim Leonor;22.0;15.0;0.0;1.0
Jardim Leonor Mendes de Barros;5.0;2.0;1.0;0.0
Jardim Libano;0.0;1.0;0.0;0.0
Jardim Lideranca;0.0;1.0;0.0;0.0
Jardim Londrina;15.0;7.0;0.0;0.0
Jardim Los Angeles;0.0;1.0;0.0;0.0
Jardim Lourdes;0.0;0.0;0.0;1.0
Jardim Lourdes (zona Sul);0.0;0.0;0.0;1.0
Jardim Luanda;1.0;3.0;0.0;0.0
Jardim Lucia;0.0;0.0;0.0;2.0
Jardim Luísa;2.0;3.0;0.0;0.0
Jardim Líbano;0.0;2.0;0.0;0.0
Jardim Maia;1.0;0.0;0.0;0.0
Jardim Mangalot;1.0;2.0;0.0;0.0
Jardim Maraba;0.0;0.0;0.0;1.0
Jardim Marajoara;7.0;7.0;0.0;0.0
Jardim Marajoara ;1.0;0.0;0.0;0.0
Jardim Maria Aparecida;0.0;1.0;0.0;0.0
Jardim Maria Duarte;0.0;0.0;0.0;1.0
Jardim Maria Estela;5.0;2.0;0.0;0.0
Jardim Maria Luiza;1.0;1.0;0.0;0.0
Jardim Maria Rita;0.0;1.0;0.0;0.0
Jardim Maria Rosa;3.0;5.0;1.0;1.0
Jardim Mariliza;2.0;1.0;0.0;0.0
Jardim Marilu;1.0;0.0;0.0;0.0
Jardim Maringa;1.0;0.0;0.0;0.0
Jardim Maringá;2.0;6.0;0.0;0.0
Jardim Maristela;0.0;8.0;0.0;0.0
Jardim Marília;0.0;1.0;0.0;0.0
Jardim Mimar;0.0;1.0;0.0;0.0
Jardim Mirante;2.0;0.0;0.0;1.0
Jardim Miriam;0.0;4.0;0.0;1.0
Jardim Modelo;3.0;3.0;0.0;1.0
Jardim Monjolo;0.0;4.0;0.0;0.0
Jardim Monte Alegre;5.0;2.0;0.0;0.0
Jardim Monte Azul;3.0;2.0;0.0;0.0
Jardim Monte Kemel;11.0;6.0;2.0;0.0
Jardim Monte Libano;0.0;1.0;0.0;0.0
Jardim Montreal;0.0;1.0;0.0;0.0
Jardim Moreira;1.0;0.0;0.0;0.0
Jardim Morro Verde;0.0;1.0;0.0;0.0
Jardim Morumbi;0.0;2.0;1.0;0.0
Jardim Munhoz Junior;0.0;1.0;0.0;0.0
Jardim Nadir;1.0;0.0;0.0;0.0
Jardim Nordeste;2.0;1.0;0.0;0.0
Jardim Norma;0.0;3.0;0.0;0.0
Jardim Nossa Senhora Aparecida;0.0;0.0;1.0;0.0
Jardim Nosso Lar;4.0;1.0;0.0;0.0
Jardim Nova Cidade;1.0;0.0;0.0;0.0
Jardim Nova Germania;0.0;1.0;0.0;0.0
Jardim Nova Taboao;2.0;0.0;0.0;0.0
Jardim Novo Santo Amaro;6.0;1.0;0.0;1.0
Jardim Novo Taboao;1.0;0.0;0.0;0.0
